model,corruption,severity,n,accuracy,f1_micro,f1_macro,f1_weighted,effective_text_weight_mean,effective_text_weight_std
standard_vlm_fusion,text_token_deletion,0.0,30,0.6333333333333333,0.6333333333333333,0.5114285714285713,0.63,,
standard_vlm_fusion,text_token_deletion,0.25,30,0.6333333333333333,0.6333333333333333,0.5114285714285713,0.63,,
standard_vlm_fusion,text_token_deletion,0.5,30,0.6333333333333333,0.6333333333333333,0.5114285714285713,0.63,,
standard_vlm_fusion,text_token_deletion,0.75,30,0.6333333333333333,0.6333333333333333,0.5114285714285713,0.63,,
standard_vlm_fusion,text_token_deletion,1.0,30,0.6333333333333333,0.6333333333333333,0.5114285714285713,0.63,,
standard_vlm_fusion,image_gaussian_noise,0.0,30,0.6333333333333333,0.6333333333333333,0.5114285714285713,0.63,,
standard_vlm_fusion,image_gaussian_noise,0.25,30,0.3,0.3,0.1436105476673428,0.19107505070993913,,
standard_vlm_fusion,image_gaussian_noise,0.5,30,0.26666666666666666,0.26666666666666666,0.11414141414141414,0.15134680134680137,,
standard_vlm_fusion,image_gaussian_noise,0.75,30,0.23333333333333334,0.23333333333333334,0.07567567567567568,0.08828828828828829,,
standard_vlm_fusion,image_gaussian_noise,1.0,30,0.23333333333333334,0.23333333333333334,0.07567567567567568,0.08828828828828829,,
proposed_multimodal_vlm,text_token_deletion,0.0,30,0.8666666666666667,0.8666666666666667,0.8876767676767677,0.864915824915825,0.699999988079071,0.0
proposed_multimodal_vlm,text_token_deletion,0.25,30,0.8333333333333334,0.8333333333333334,0.8096153846153846,0.8306623931623932,0.699999988079071,0.0
proposed_multimodal_vlm,text_token_deletion,0.5,30,0.7,0.7,0.6796491228070175,0.69682261208577,0.699999988079071,0.0
proposed_multimodal_vlm,text_token_deletion,0.75,30,0.5666666666666667,0.5666666666666667,0.5602991452991454,0.5237678062678063,0.699999988079071,0.0
proposed_multimodal_vlm,text_token_deletion,1.0,30,0.6,0.6,0.43393939393939396,0.5343434343434343,0.699999988079071,0.0
proposed_multimodal_vlm,image_gaussian_noise,0.0,30,0.8666666666666667,0.8666666666666667,0.8876767676767677,0.864915824915825,0.699999988079071,0.0
proposed_multimodal_vlm,image_gaussian_noise,0.25,30,0.8666666666666667,0.8666666666666667,0.8876767676767677,0.864915824915825,0.699999988079071,0.0
proposed_multimodal_vlm,image_gaussian_noise,0.5,30,0.8666666666666667,0.8666666666666667,0.8876767676767677,0.864915824915825,0.699999988079071,0.0
proposed_multimodal_vlm,image_gaussian_noise,0.75,30,0.8666666666666667,0.8666666666666667,0.8876767676767677,0.864915824915825,0.699999988079071,0.0
proposed_multimodal_vlm,image_gaussian_noise,1.0,30,0.8666666666666667,0.8666666666666667,0.8876767676767677,0.864915824915825,0.699999988079071,0.0
