condition,display_name,uses_text,uses_image,is_multimodal,n,correct,accuracy,accuracy_ci95_low,accuracy_ci95_high,f1_micro,f1_macro,precision,recall
unimodal_image,Image only (unimodal),False,True,False,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.6333333333333333,0.5027260458839405,0.4883333333333333,0.5371428571428571
unimodal_text,Text only (unimodal),True,False,False,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.8666666666666667,0.8876767676767677,0.8833333333333332,0.9
standard_vlm_fusion,Standard VLM fusion (text + image concat),True,True,True,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.6333333333333333,0.5114285714285713,0.532034632034632,0.5057142857142857
proposed_multimodal_vlm,Validation-selected fixed parent mixture (text weight=0.70),True,True,True,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.8666666666666667,0.8876767676767677,0.8833333333333332,0.9
