condition,display_name,training_mode,n,correct,accuracy,f1_micro,f1_macro,f1_weighted,precision,recall,validation_f1,checkpoint
unimodal_image,Image only (unimodal),centralized,30,16,0.5333333333333333,0.5333333333333333,0.4496975470350083,0.5372787171548782,0.45777777777777773,0.44857142857142857,0.5333333333333333,/content/drive/MyDrive/FarmFederate/checkpoints/centralized_unimodal_image_fedmatched_best.pt
unimodal_image,Image only (unimodal),federated,30,15,0.5,0.5,0.41119047619047616,0.48924603174603176,0.4714646464646465,0.40857142857142853,0.5666666666666667,/content/drive/MyDrive/FarmFederate/checkpoints/federated_unimodal_image_fedavg_best.pt
unimodal_text,Text only (unimodal),centralized,30,10,0.3333333333333333,0.3333333333333333,0.1392156862745098,0.21535947712418302,0.11499999999999999,0.20857142857142857,0.4666666666666667,/content/drive/MyDrive/FarmFederate/checkpoints/centralized_unimodal_text_fedmatched_best.pt
unimodal_text,Text only (unimodal),federated,30,8,0.26666666666666666,0.26666666666666666,0.13904761904761903,0.20507936507936506,0.11666666666666665,0.17714285714285713,0.5,/content/drive/MyDrive/FarmFederate/checkpoints/federated_unimodal_text_fedavg_best.pt
standard_vlm_fusion,Standard VLM fusion (concat),centralized,30,16,0.5333333333333333,0.5333333333333333,0.4377777777777778,0.5218518518518518,0.45606060606060606,0.44571428571428573,0.4666666666666667,/content/drive/MyDrive/FarmFederate/checkpoints/centralized_standard_vlm_fusion_fedmatched_best.pt
standard_vlm_fusion,Standard VLM fusion (concat),federated,30,14,0.4666666666666667,0.4666666666666667,0.2476923076923077,0.3428205128205128,0.1951923076923077,0.33999999999999997,0.43333333333333335,/content/drive/MyDrive/FarmFederate/checkpoints/federated_standard_vlm_fusion_fedavg_best.pt
flexible_multimodal_vlm_matched_scratch,Flexible multimodal VLM (matched scratch),centralized,30,13,0.43333333333333335,0.43333333333333335,0.3142857142857143,0.4066666666666666,0.3265934065934066,0.34571428571428575,0.43333333333333335,/content/drive/MyDrive/FarmFederate/checkpoints/centralized_flexible_multimodal_vlm_matched_scratch_fedmatched_best.pt
flexible_multimodal_vlm_matched_scratch,Flexible multimodal VLM (matched scratch),federated,30,10,0.3333333333333333,0.3333333333333333,0.22999999999999998,0.26666666666666666,0.20358974358974358,0.3028571428571428,0.3,/content/drive/MyDrive/FarmFederate/checkpoints/federated_flexible_multimodal_vlm_matched_scratch_fedavg_best.pt
